# 品質の反復 100 周。1 周 ＝ 出す → 見た人が違和感を 1 つ挙げる → 直す → この 1 行。定義は 品質100周.md。
# 見た人  人（オーナー）/ AI（Claude）。**数えられるのは「人」の行だけ。**
# 周	日付	見本	見た人	違和感	直した	どうしたか
17	2026-09-24	250	AI	ヒートポンプの輪は閉じているのに、「落ちた水は排水へ」の箱だけ何とも繋がっていない	直した	線を引いたら右の表に刺さった（x 695 は空いていなかった）。戻して「蒸発器で落ちた水は排水へ」と名前に書いた
18	2026-09-24	45	AI	矢印が全部右を向いている。南口→改札は左、改札→コンコースは下のはず	直した	隣り合う箱は縁で切ると端点が一致し、長さゼロの線は orient=auto で向きを持てない。603 本中 18 本／8 枚。nudge() で中心どうしの向きに 6px 開いた
19	2026-09-24	300	AI	④ は「穴とギザで触って分かる」と言うのに、①の円はどれもつるつるでギザが無い	直した	実寸でギザ 120 本を引くと点と辺が 1000 個超。節の丸に線種を掛ける口も無い。描いていないことを図に書き、道具の穴は sample-ideas へ
20	2026-09-24	116	AI	紙が 2044×640px（3.2:1）で、間取り図が読めない大きさになっている	直した	表を横に並べたせいの横長。下へ積んで 1120×1124（0.99:1）。左端が縁に接して玄関が切れていたので 36px 逃がし、A3 警告が出たので丈を 96px 詰めた
21	2026-09-24	140	AI	Rough opening と Header の字を、縦の柱が貫いている	直した	柱 6 本と 2 本が横切っていた。この見本は右に注記の列を持つので移し、9 つを等間隔に並べ直した。またぎ 47→34
22	2026-09-24	-	AI	consume:check が tarball を zumen という名前で入れて from 'zumen' で読んでいた	直した	改名後も偶然通っていた。package.json から名前を取るようにし、Windows の pnpm.cmd も解決するようにした
23	2026-09-24	20	AI	部門番号が D-10/20/30 と振ってあるのに、左右の並びが 30→10→20 で一致しない	直さない	辺の書き順を逆にした写しで実験。並びは変わらず、決めているのは ELK。正本から指定する口が無いので、並びに意味は無いと見出しに書いた
24	2026-09-24	128	AI	題は「ロゴの作図」なのに、出るのは仕上がりだけで作り方が図の中に 1 つも無い	直した	12 個の円に trace: true。紙は 1px も変わらない。縦棒の薄い弧が「直線が 1 本も無い」の実物。inkBounds が跡を除いていなかったのを直した（横 49069→2576）
25	2026-09-24	-	人	図の上の余白が 40〜270px とばらばら（149/299 枚が 100 超）。揃えるか	直さない	物による。縦長とか A3・A4 で違う。一律の既定値を置かず、外れ値だけ直す（decisions.md D42）
26	2026-09-24	89	AI	凡例の説明 6 行が、中央揃えでばらばらの位置から始まる	直した	左揃えにして起点をそろえた。一度やりすぎて見本の箱に食い込ませ、箱の右端（2 種類ある広いほう）の外へ置き直した
27	2026-09-24	213	AI	本文は「上下左右の 4 大ブロックは描いていません」と言うのに、上辺の中央に格子が見える	直さない	切り出して拡大したら空だった。隣の W1 の格子が続いて見えていただけ。本文が正しい
28	2026-09-24	-	AI	縮めた図を目で見ての判定を 2 回続けて外した（第 21 周と第 27 周）	直した	pnpm shot に --crop を足した。怪しい所は切り出して拡大してから判定する
29	2026-09-24	-	人	個別ページはあるが、徘徊機能がない（前後・一覧・絞り込みが無い）	直した	前へ/次へ（端は輪）・/all/（344 枚 1 ページ）・絞り込みを足した。JS が無くても一覧は読める
30	2026-09-24	-	人	パンくずも入れて階層化を	直した	zumen › 見本 344 枚 › 分野 › この図。見える形と BreadcrumbList を同じ並びにし、分野ページと一覧にも通した
31	2026-09-24	-	AI	カードの図が 1 枚も出ていない（分野ページ 13 枚すべて）	直した	img に width/height が無く、読み込む前の高さが 0 で lazy が発火していなかった。寸法を付けて CLS も消えた
32	2026-09-24	-	AI	正本の見出しに書いた表が、ページで 1 行に潰れている	直した	17 枚・100 行。table にした。見出しの無い表（12 枚）は 1 列目を見出し扱いに
33	2026-09-24	-	AI	** とバッククォートが生のまま出ている（副題・本文・meta description・構造化データ）	直した	ページの中では strong と code に、検索結果に出る文からは記号を落とした
34	2026-09-25	345	AI	帯が離れすぎて、重なりが読めない（最初の作り）	直した	重なる帯を時代の帯のすぐ下へ付けた。離すと「同時に進んでいた」が伝わらない
35	2026-09-25	345	AI	目盛線が下の字を貫き、大政奉還と廃藩置県が 16px 重なる	直した	線は帯の中だけに。出来事は 4 年に 4 つ集まるので、同じ段では必ず重なる。段をずらした
36	2026-09-25	346	AI	差 1.77mm は 2px しかなく、網掛けが 1 つも描かれない	直した	検査 hatch-too-thin が言った。無地の細い箱にし、右端の 8mm だけを 20 倍に拡大した図を添えた
37	2026-09-25	346	AI	拡大図で縮尺を混ぜていた（本体 0.12 倍・差だけ 20 倍）	直した	同じ図の中で 2 つの倍率を使うと読めない。右端を切り出して全部 20 倍にし、どこを切ったかを書いた
38	2026-09-25	347	AI	「ここを切る」を帯の中に置いたら、切るのではなく「入れた」ように見える	直した	切る位置は帯の下に印を出した。中に置くと、入れた遺伝子と同じ見え方になる
39	2026-09-25	348	AI	表の行と列の意味がずれている（核の DNA の行に「もとの猫」、列見出しは「卵子の提供猫」）	直した	CC の何が／どこから来たか／元の猫と同じか、に組み直した
40	2026-09-25	-	AI	実寸で描いた見本が 122 枚あるのに、縮尺の物差しが 0 枚	直した	scale は正本にあるが web に貼ると失われる。物差しだけは図と一緒に伸び縮みする。道具に入れて 122 枚に一度に付いた
41	2026-09-25	14	AI	物差しの目盛「0」が紙の左へはみ出す	直した	中央揃えが原因。左端は左揃え、右端は右揃えに。test/paper.test.ts が 8 枚で捕まえた
42	2026-09-25	349	AI	z を書いても箱が立体に見えない（長方形のまま並ぶ）	直した	投影が落とすのは点の位置だけで、size の箱は紙の軸に平行なまま。立体は点と線で組む形にし、限界を正本に明記した
43	2026-09-25	343	AI	PFL の枝がフェーダーの真横から出ていて、注記の「フェーダーの前から取る」と合っていない	直した	取り出し口を PAN POT → フェーダーの線上へ移した。注記の「右に出ている枝」も、描いてある枝は左下の 1 本なので書き直した
44	2026-09-25	111	AI	読み方の箇条書きが、文の途中で次の行へ渡るのに「・」が付いていて、別の項目に見える	直した	続きの行は全角空白で下げた（2 か所）
45	2026-09-25	264	AI	配光曲線が 2 本あるが、どちらが拡散でどちらが集光か、ラベルが離れていて対応が取れない	直した	拡散のラベルから破線の曲線へ引き出し線を 1 本引いた
46	2026-09-25	350	AI	表の見出しが 1 本の文字列で、列の真ん中と合っていない（音／F 管なし／F 管あり）	直した	見出しを列ごとの升に分けた（見本 111 と同じ形）。⑤ も同じに直した
47	2026-09-25	350	AI	斜線が音名の字の上に乗って、どの音か読めない	直した	音名の列には斜線を掛けない。斜線は可否の列だけに残した
48	2026-09-25	336	AI	②「マスト灯は舷灯 2 つと同じ範囲（225°）」が文だけで、図に出ていない	直した	③ として 225° の扇を 1 つ足した。舷灯が切れる角度に破線の印を付けて、同じ場所で切れることを見せた
49	2026-09-25	162	AI	非常口（Type III）のひし形が、11 列目の座席に 6px ほど乗っている	直さない	乗降口の記号は胴体の線の上に置くのが LOPA の書き方で、6px は原寸で見て気にならない。次に触るときへ送る
50	2026-09-25	245	AI	揚程 H の寸法線に、片側しか矢じりが無いように見えた	直さない	拡大したら両端にあった。縮小した絵での誤読。3 度目なので、疑ったら必ず --crop で寄る
51	2026-09-25	86	AI	往復する 2 本（削除／削除して戻る）が同じ直線に重なり、両端矢じりの 1 本に見える	直した	道具側で直した。同じ 2 点を結ぶ線を、向きと直角に開く（src/layout.ts の fanOut）。逆順でも気づく検査を足した
52	2026-09-25	88	AI	枠に 1440px / 768px / 390px と書いてあるが、描いた幅はその比になっていない	直した	比ではないことを図の中に書いた。実寸で描くと Mobile が読めなくなるため。Tablet の Hero も表に合わせた
53	2026-09-25	103	AI	酸素供給から循環ポンプへの線が、補給水の箱の縁を 3px ほどでかすめる	直さない	置き場所も道も機械が決める構成図（kind: structure）で、1 枚だけ直しても戻る。またぎの検査を「近すぎ」まで広げる話として残す
